,cuisine,c,restaurant_address,address
1434,45, Oriental,23,"Jatti Building, Koramangala 5th Block, Bangalore"
1435,54, Seafood,23,"Jatti Building, Koramangala 5th Block, Bangalore"
1436,20, Fast Food,23,"Jatti Building, Koramangala 5th Block, Bangalore"
1437,18, Desserts,23,"Jatti Building, Koramangala 5th Block, Bangalore"
1438,83,Fast Food,2,"BTM, Bangalore"
1439,42, Momos,2,"BTM, Bangalore"
1441,25, Ice Cream,2,"BTM, Bangalore"
1443,104,Pizza,20,"Indiranagar, Bangalore"
1444,28, Italian,20,"Indiranagar, Bangalore"
1450,91,Lebanese,2,"BTM, Bangalore"
1451,77,Burger,20,"Indiranagar, Bangalore"
1459,73,Bakery,34,"Koramangala 8th Block, Bangalore"
1465,110,Shawarma,2,"BTM, Bangalore"
1467,82,Desserts,51,"Residency Road, Bangalore"
1468,6, Bakery,51,"Residency Road, Bangalore"
1473,76,Biryani,25,"Jeevan Bhima Nagar, Bangalore"
1477,77,Burger,37,"Lavelle Road, Bangalore"
1479,1, American,37,"Lavelle Road, Bangalore"
1480,21, Finger Food,37,"Lavelle Road, Bangalore"
1484,96,Mithai,65,"Vijay Nagar, Bangalore"
1492,18, Desserts,22,"JP Nagar, Bangalore"
1493,8, Beverages,22,"JP Nagar, Bangalore"
1494,55, Shake,22,"JP Nagar, Bangalore"
1495,80,Chinese,8,"Brigade Road, Bangalore"
1497,42, Momos,8,"Brigade Road, Bangalore"
1498,57, Sichuan,8,"Brigade Road, Bangalore"
1499,107,Sandwich,7,"Basaveshwara Nagar, Bangalore"
1504,101,North Indian,16,"Frazer Town, Bangalore"
1505,58, South Indian,16,"Frazer Town, Bangalore"
1511,111,South Indian,61,"Thippasandra, Bangalore"
1512,33, Kerala,61,"Thippasandra, Bangalore"
1513,15, Chinese,61,"Thippasandra, Bangalore"
1514,54, Seafood,61,"Thippasandra, Bangalore"
1515,14, Chettinad,61,"Thippasandra, Bangalore"
1516,111,South Indian,1,"153 Biere Street, Bangalore"
1517,44, North Indian,1,"153 Biere Street, Bangalore"
1518,59, Street Food,1,"153 Biere Street, Bangalore"
1519,15, Chinese,1,"153 Biere Street, Bangalore"
1520,8, Beverages,1,"153 Biere Street, Bangalore"
1521,18, Desserts,1,"153 Biere Street, Bangalore"
1526,54, Seafood,16,"Frazer Town, Bangalore"
