,Restaurant_id,name,urls,ratings,price for one,cuisine,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
32,R6,Salt - Indian Restaurant Bar & Grill,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-lavelle-road-bangalore/order,4.1,250, Beverages,84,"UB City, Bangalore",12.97158655,77.5960585
33,R6,Salt - Indian Restaurant Bar & Grill,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-lavelle-road-bangalore/order,4.1,250, Desserts,84,"UB City, Bangalore",12.97158655,77.5960585
34,R7,Sultan - Palace Darbar Restaurant,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order,3.4,250,North Indian,15900,"Nagawara, Bangalore",13.01911862,77.61870492
35,R7,Sultan - Palace Darbar Restaurant,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order,3.4,250, Chinese,15900,"Nagawara, Bangalore",13.01911862,77.61870492
36,R7,Sultan - Palace Darbar Restaurant,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order,3.4,250, Arabian,15900,"Nagawara, Bangalore",13.01911862,77.61870492
37,R7,Sultan - Palace Darbar Restaurant,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order,3.4,250, Mughlai,15900,"Nagawara, Bangalore",13.01911862,77.61870492
38,R8,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,3.9,250,Pizza,8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
39,R8,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,3.9,250, Italian,8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
40,R8,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,3.9,250, Pasta,8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
41,R8,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,3.9,250, Fast Food,8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
42,R8,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,3.9,250, Desserts,8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
43,R9,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,3.8,200,Pizza,4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
44,R9,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,3.8,200, Fast Food,4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
45,R9,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,3.8,200, Desserts,4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
46,R9,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,3.8,200, Beverages,4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
47,R10,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,3.7,200,Burger,468,"Brigade Road, Bangalore",12.97325955,77.60750703
48,R10,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,3.7,200, Fast Food,468,"Brigade Road, Bangalore",12.97325955,77.60750703
49,R10,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,3.7,200, Biryani,468,"Brigade Road, Bangalore",12.97325955,77.60750703
50,R10,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,3.7,200, Desserts,468,"Brigade Road, Bangalore",12.97325955,77.60750703
51,R10,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,3.7,200, Beverages,468,"Brigade Road, Bangalore",12.97325955,77.60750703
52,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200,North Indian,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
53,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200, Biryani,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
54,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200, Kebab,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
55,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200, Chinese,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
56,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200, South Indian,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
