Restaurant_id,name,urls,ratings,price for one,cuisine
R155,Aubree,https://www.zomato.com/bangalore/aubree-shivajinagar-bangalore/order,4.2,200,"Bakery, Desserts, Italian, Thai, Fast Food"
R156,Just Shawarma,https://www.zomato.com/bangalore/just-shawarma-indiranagar-bangalore/order,3.8,200,"Lebanese, Fast Food, Beverages"
R157,Keventers - Milkshakes & Desserts,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order,4.2,200,"Shake, Beverages, Desserts"
R158,Cake N Chef,https://www.zomato.com/bangalore/cake-n-chef-bannerghatta-road-bangalore/order,4,200,"Bakery, Desserts"
R159,Mandya Nati Style,https://www.zomato.com/bangalore/mandya-nati-style-vijay-nagar-bangalore/order,3.6,200,"South Indian, Biryani"
R160,Brahmins' Thatte Idli,https://www.zomato.com/bangalore/brahmins-thatte-idli-1-malleshwaram-bangalore/order,4.2,200,South Indian
R161,WOW! China,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,3.8,200,"Chinese, Rolls"
R162,Juice Junction,https://www.zomato.com/bangalore/juice-junction-st-marks-road/order,4.2,200,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food"
R163,The Dessert Heaven - Pure Veg,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-koramangala-6th-block-bangalore/order,4.3,200,"Desserts, Bakery"
R164,Ambur Biryani Point,https://www.zomato.com/bangalore/ambur-biryani-point-koramangala-8th-block-bangalore/order,3.5,200,"Biryani, Fast Food"
R165,Just Cakes,https://www.zomato.com/bangalore/just-cakes-koramangala-7th-block-bangalore/order,3.8,350,"Bakery, Desserts"
R166,Karnataka Bhel House,https://www.zomato.com/bangalore/karnataka-bhel-house-basavanagudi/order,4.3,350,"Street Food, Ice Cream"
R167,Hyderabad Biryani House,https://www.zomato.com/bangalore/hyderabad-biryani-house-malleshwaram-bangalore/order,4,350,"North Indian, Hyderabadi, Chinese, Biryani, Mughlai, Desserts, Beverages, Shake"
R168,Great Indian Khichdi by EatFit,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore/order,4,350,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages"
R169,99 Varieties Dosa & Pav Bhaji,https://www.zomato.com/bangalore/99-varieties-dosa-pav-bhaji-btm-bangalore/order,3.7,350,South Indian
R170,Hotel Kadamba Veg,https://www.zomato.com/bangalore/hotel-kadamba-veg-rajajinagar/order,4.2,350,"South Indian, North Indian, Chinese, Salad, Mithai, Beverages"
R171,ibaco,https://www.zomato.com/bangalore/ibaco-brigade-road-bangalore/order,4.3,350,"Ice Cream, Desserts"
R172,Ande Ka Funda,https://www.zomato.com/bangalore/ande-ka-funda-2-btm-bangalore/order,3.7,350,"North Indian, Rolls, Chinese"
R173,Paratha Envy,https://www.zomato.com/bangalore/paratha-envy-koramangala-6th-block-bangalore/order,4.2,350,North Indian
